Page Name	Categories	Subcategories	Tags	Discription	UPC list	Part # list	Extra Info list	color
NEW MATTE BLACK ITEMS	Special			"New Matte Black Items!!! Available end of July!!! 

For more info on each item, search it's UPC to find the 'main page'. 
Click on the black 'color squares' to see images of each item.   "	14301,14300,14233,14234,14307,14309,14308,14280,14303,14302,14306,80248,80249,14305,14304	TS134MB,TS137MB,TS164MB,TS167MB,SS150MB,6840MB,6800MB,780070MB,FP143MB,FP142MB,TD2512MB,CTD3000MB,CTD3200MB,090NMB,S188MB	" - - - - - - - - - - - - - - - -,14301 - Tub Spout, Nose Mount, Diverter,14300 - Tub Spout, Nose Mount, No Diverter,14233 - Tub Spout, All-4-1, Diverter,14234 - Tub Spout, All-4-1, No Diverter,14307 - Tub Spout Trim Plate,14309 - Bathroom Sink Drain, No Overflow, Clicker,14308 - Bathroom Sink Drain, Overflow, Clicker,14280 - Clicker Stopper,14303 - Tub Faceplate, 1 hole,14302 - Tub Faceplate, 2 holes,14306 - Tub Drain, Lift & Turn,80248 - Tub Drain Kit, 1 hole,80249 - Tub Drain Kit, 2 hole,14305 - 6"" shower Arm & Flange,14304 - Shower head, single function"	
Plastic Popup With Overflow	Bathroom Sink Drains	Pop Up	With Overflow, Plastic	One piece plastic sink drain, Pop-Up Drain with Overflow. Easy Assembly, with Stainless Steel clad waste seat and plunger comes complete with lift rod and linkage.   	10002	600S	 - - - - - - - - - - - - - - - -,Plastic, with Stainless Steel Clad Top & Plunger	
SS Clad Top Plastic Popup No Overflow	Bathroom Sink Drains	Pop Up	No Overflow, Plastic	Plastic Sink Drain single piece Pop-Up Drain without Overflow Easy Assembly with  with Stainless Steel clad waste seat and plunger, comes complete with lift rod and linkage. 	10000	600S2	 - - - - - - - - - - - - - - - -,Plastic with Stainless Steel Clad Top & Plunger	
304 SS Clad Top Plastic Popup 	Bathroom Sink Drains	Pop Up	With Overflow, Plastic	"Push and Lock (clicker) Sink Drain, Polished 304 Stainless Steel clad top and plunger.  Fits sinks with and without overflow. 6"" Long plastic tailpiece,  comes complete with lift rod and linkage.  "	10265	600CLB	 - - - - - - - - - - - - - - - -,Plastic with 304 Stainless Steel clad top and plunger	
1/2 x 1/2 Popup with Overflow	Bathroom Sink Drains	Pop Up	With Overflow, Two Piece, Half & Half	2 piece brass top, plastic bottom, Pop-Up Sink Drain with Overflow comes complete with lift rod and linkage.  	10003,10004,10006,10009	630D1,630D2,630D4W,630DS4W	 - - - - - - - - - - - - - - - -,Chrome Seat, SS clad Plunger,Chrome,White,Solid brass stopper, White	
Brass Pop Up with Overflow	Bathroom Sink Drains	Pop Up	Carded, With Overflow, Free Rotateing Connector Nut, All Brass	All brass Pop-Up Sink Drain with overflow and tailpiece with free rotating connector nut.  Comes complete with lift rod and linkage.  	10011,10010,10030,10210,14048,80188,80184,80182	630E2,630E1,630B3PBRPVD,630B3SNPVD,630B3ORB,C630E1,C630B3PBRPVD,C630B3SN	 - - - - - - - - - - - - - - - -,Chrome,Chrome plated brass with, Stainless Steel Clad Plunger,Oil Rubbed Bronze,Polished Brass PVD,Satin Nickel,Chrome, Carded,Polished Brass PVD, Carded,Satin Nickel, Carded,Oil Rubbed Bronze, Carded	
Brass Pop Up No Overflow	Bathroom Sink Drains	Pop Up	No Overflow, Two Piece, Free Rotateing Connector Nut, All Brass	2 piece all brass pop-up Sink Drain, NO overflow, features tailpiece with free rotating connector nut, comes complete with lift rod and linkage.  	10036,10037,10211,14049,80178,80179,80172	630E8,630B8PBRPVD,630B8SNPVD,630B8ORB,C630B8SNPVD,C630B8PBRPVD,C630B8ORB	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel PVD,Polished Brass PVD,Oil Rubbed Bronze,Satin Nickel (PVD), Carded,Polished Brass (PVD), Carded,Oil Rubbed Bronze, Carded	
3 Piece Brass Pop Up	Bathroom Sink Drains	Pop Up	Three Piece, All Brass	All Brass 3 piece Pop-Up Sink Drain with Cast Brass Center Section (No CSA) comes complete with lift rod and linkage.   	10024,10025,80191	6450,6451PBRPVD,C6450	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass PVD,Chrome Carded	
Heavy Duty Brass Popup	Bathroom Sink Drains	Pop Up	No Overflow, All Brass	All Brass Super Heavy Duty All Brass Pop-Up Sink Drain NO overflow, comes complete with lift rod and linkage.  	10240,10241	7740,7740SNPVD	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel	
Brass Clicker With Overflow	Bathroom Sink Drains	Clicker Style	With Overflow, All Brass	Push and Lock (clicker) Pop-Up Sink Drain with overflow    	10254,14238,14236,14308,80194,80193,80192	6800,6800SNPVD,6800ORB,6800MB,C6800,C6800SNPVD,C6800ORB	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel,Oil Rubbed Bronze,Matte Black,Chrome, Carded,Satin Nickel PVD, Carded,Oil Rubbed Bronze, Carded	
